id,explanation
2464,Answer D:  About 50% of people with hypertension are controlled
2465,Answer A:  Increased long-term BP variability is associated with an increased risk of cardiovascular events despite adequate BP control on most visits
2466,Answer D:  Low dietary potassium promotes hypertension by increasing the activity of the sodium-chloride cotransporter (on a high sodium diet)
2467,Answer D:  Add amiloride
2468,Answer B:  In 1 year
2469,Answer B:  Obtain 24-hour ambulatory BP monitoring
2470,Answer D:  Add spironolactone
2471,"Answer B:  Home BP tele-monitoring supervised by a health care provider results in higher rates of BP control than usual care Home BP monitoring, with or without remote telemonitoring, is associated with better BP control; therefore, choice B is correct, and choice A is incorrect. The best results occur when a healthcare provider, such as a physician, clinical pharmacist, or nurse, pairs the monitoring with interventions. Protocols involving patient education for self-titration of therapy are also quite effective for individuals with hypertension regardless of comorbid conditions, but it is estimated that only about 20% of hypertensive patients may be suitable to this intervention (incorrect choices C and D). Financial incentives to physicians result in modest increases in rates of BP control in hypertensive patients (incorrect choice E)."
2472,Answer D:  110/75 mmHg
2473,Answer A:  Droxidopa
2474,Answer D:  Make no changes to the current regimen
2475,Answer D:  Her BMI
2476,Answer C:  Inappropriately low atrial natriuretic peptide levels
2477,"Answer D:  Regular use of continuous positive airway pressure for at least 4 hours per night Patients with obesity have an increased incidence of both sleep apnea and resistant hypertension. A recent study has shown that the combination of weight loss with regular use of CPAP improves BP and can reverse abnormal dipping patterns. The effects of CPAP on BP are also more pronounced with use of CPAP for more than 4 hours per night; hence, choice D is correct. Use of nocturnal oxygen supplementation has not been shown to be effective to reduce BP (choice A is incorrect). Behavioral and self-help psychotherapy are not effective in lowering BP as assessed by ambulatory blood pressure monitoring (choice B is incorrect). A randomized, double-blind, sham-controlled trial and a meta-analysis of device-guided breathing by Landman and coworkers found no benefit of device-guided breathing in lowering BP; thus, choice C is incorrect."
2478,Answer D:  Order a CT angiogram
2479,Answer D:  Refer for adrenal vein sampling
2480,Answer C:  A lateralization index of 6
2481,Answer D:  Plasma metanephrines
2482,Answer C:  Genetic testing
2483,Answer D:  Maintenance of his systolic BP at <120 mmHg
2484,Answer C:  Reversal of INR to <1.3 plus lowering of systolic BP <160 mmHg within 4 hours
2485,Answer D:  The absence of nocturnal dipping
2486,Answer B:  Underlying CKD
2488,"Answer D:  Add amlodipine, targeting a systolic BP of <120 mmHg "
2489,"Answer C:  The low BP target (120 mmHg) resulted in a 38% reduction in the risk of heart failure In SPRINT, a systolic BP target of <120 mmHg, compared to a target of 140 mmHg, resulted in lower risk of several cardiovascular endpoints as well as all-cause death. Specifically, the composite endpoint of myocardial infarction and other coronary syndromes, stroke, heart failure, or cardiovascular death was decreased by 25%. This was driven largely by less heart failure (38%) and cardiovascular deaths (22%). All cause death was also decreased by 27%. Other components of the endpoint were also improved, but did not reach statistical significance (stroke was decreased by 11%, P=0.50, and myocardial infarction was decreased by 17%, P=0.19; other coronary syndromes were identical between the two groups). All subgroups benefited from the lower target, including patients older than 75 years. The differences between the two groups were substantial (15/8 mmHg at 12 months) an dpersisted for the duration of the trial. The risk of AKI was increased by 71% in the low BP target group, but the absolute risk was 4.4% (vs. 2.6% in the standard group, P<0.001).  "
2490,Answer C:  Refer for percutaneous renal angioplasty
2491,Answer E:  25OHD replacement has no effect on BP in hypertensive patients with 25OHD deficiency
